"codigo","actividad_economica","afecta_iva","categoria"
"293000","Fabricación de partes, piezas y accesorios para vehículos automotores",,
"301100","Construcción de buques, embarcaciones menores y estructuras flotantes",,
"302000","Fabricación de locomotoras y material rodante",,
"303000","Fabricación de aeronaves, naves espaciales y maquinaria conexa",,
"310009","Fabricación de colchones; fabricación de otros muebles n.c.p.",,
"321100","Fabricación de joyas y artículos conexos",,
"322000","Fabricación de instrumentos musicales",,
"323000","Fabricación de artículos de deporte",,
"264000","Fabricación de aparatos electrónicos de consumo",,
"324000","Fabricación de juegos y juguetes",,
"331900","Reparación de otros tipos de equipo",,
"202909","Fabricación de otros productos químicos n.c.p.",,
"139900","Fabricación de otros productos textiles n.c.p.",,
"151200","Fabricación de maletas, bolsos y artículos similares, artículos de talabartería y guarnicionería",,
"162900","Fabricación de otros productos de madera, de artículos de corcho, paja y materiales trenzables",,
"170900","Fabricación de otros artículos de papel y cartón",,
"221900","Fabricación de otros productos de caucho",,
"222000","Fabricación de productos de plástico",,
"259900","Fabricación de otros productos elaborados de metal n.c.p.",,
"282900","Fabricación de otros tipos de maquinaria de uso especial",,
"309200","Fabricación de bicicletas y de sillas de ruedas",,
"321200","Fabricación de bisutería y artículos conexos",,
"329000","Otras industrias manufactureras n.c.p.",,
"383001","Recuperación y reciclamiento de desperdicios y desechos metálicos",,
"383002","Recuperación y reciclamiento de papel",,
"383003","Recuperación y reciclamiento de vidrio",,
"383009","Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.",,
"351011","Generación de energía eléctrica en centrales hidroeléctricas",,
"351012","Generación de energía eléctrica en centrales termoeléctricas",,
"351019","Generación de energía eléctrica en otras centrales n.c.p.",,
"351020","Transmisión de energía eléctrica",,
"351030","Distribución de energía eléctrica",,
"352010","Regasificación de Gas Natural Licuado (GNL)",,
"352020","Fabricación de gas; distribución de combustibles gaseosos por tubería, excepto regasificación de GNL",,
"353001","Suministro de vapor y de aire acondicionado",,
"360000","Captación, tratamiento y distribución de agua",,
"431200","Preparación del terreno",,
"431100","Demolición",,
"410010","Construcción de edificios para uso residencial",,
"410020","Construcción de edificios para uso no residencial",,
"421000","Construcción de carreteras y líneas de ferrocarril",,
"422000","Construcción de proyectos de servicio público",,
"432100","Instalaciones eléctricas",,
